"id","code","organizationid"
"009f98bd-a1cc-48d0-a0b7-f597bbd6da6a","LU","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"039a76a2-9cef-4e00-9885-5287c2e76679","RS","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"0a551ece-3e1c-4272-ab87-5fde3289a358","GR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"0e0901cc-e759-4d7f-811d-249f494ede39","KW","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"0ffdc36a-2162-44fc-9ac9-f915868bbcc1","SG","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"23a95f6c-f647-49aa-b13e-df2777f8382a","RE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"28e52f0a-af63-4905-9ec8-9a9f275bbc7f","DO","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"2e4deda7-dd3a-426b-a488-176a526c1aad","GT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"303342da-96fa-42e6-9525-23f5ce168496","SR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"3340d63d-6722-411a-a16f-5dcf3c55b127","AD","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"37ae4b32-5a40-4a48-baa3-2767ddd69fa8","US","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"39155979-6acc-4b6d-bbe6-2218e0abb6d2","VE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"3cd935af-abe2-4df4-80b5-dc1751703aae","AE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"3ed63ca5-9cba-4363-bb4d-41c59bc1cf49","FR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"428a5b50-e323-4391-b837-5922c46977da","HN","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"430e27d3-f07b-4403-993f-7dc3e954d6bc","IT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"45512ddb-bcfd-4399-8d25-7c620c567674","GY","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"49e45ef3-199a-47d3-b497-e489eec9e85a","GB","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"4a7d3d1c-a2d6-4345-85c3-5dbd557632a8","EC","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"4dfafdd9-1522-4f03-bb5f-79c1bda32b71","PL","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"54b814f6-96e3-45b1-97b0-2691d2298c27","NI","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"554d24ba-90eb-4a17-b657-18d622f49896","CA","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"583a2d2d-7799-4031-bae4-62229b76a462","SC","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"5b8e0375-8d55-4f10-b703-33ff29598b93","SI","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"5c1574a3-0fb2-4d0e-9074-633da7aa4747","TT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"5f28b28e-832e-4cd6-bab0-521ddb3bdaa4","SN","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"615fb194-988d-4a16-baf1-a1f21bbce239","BG","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"639d9c40-2cc0-4d38-94b2-789ac743b168","CR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"647138fd-3740-4a13-82e2-3ece0743a5e7","BE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"694866fe-9aab-4c4e-9cb6-f17e8506da3a","BD","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"6a0dfbbd-88f2-4716-8e0f-5ab265e816d1","IL","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"6a1f7117-5aa3-4e5e-aea0-3d9fe877d097","DE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"706a0424-abea-4e61-b986-3d1dc095c99f","GI","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"71ce20c7-545c-4dd0-9acc-26af5c8d28db","MQ","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"7292a81c-31a2-40e2-b3d8-dfca1f135c69","IE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"731126e1-1f8e-4753-b4a1-2378086f4c21","GP","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"738bcefe-8313-4e32-b6f1-b2f223fbba91","ET","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"77843846-7e76-43ff-b6e6-52241261e278","CZ","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"792fffee-ce00-423c-8e81-c47de6675381","HR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"7b35bdb7-1b50-419a-badd-39bfe402e1b4","MA","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"7b8dac64-6002-4217-b1f0-0d928a2c9ba0","RO","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"7bae9cd5-efa7-4dad-b964-2044dde9fc15","TN","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"7f8b04e9-08df-4422-aded-11e7c1d6a092","BL","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"806a585d-a4da-4b48-ae14-a0b2a4d3bccf","NC","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"80bf56df-54b5-49e3-bd62-54df839fe952","CO","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"817b415d-e778-462d-ba6e-17562d5327f4","KY","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"84bc04f6-055c-45f4-9c68-06964741107e","MX","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"8684ac34-9d59-42df-ad78-362e176d8ece","SM","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"89270c6e-d0a7-46ee-bf5e-ae0e59e3686d","QA","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"92540ebf-da6c-42a6-a6d1-76d9b7fcbaab","KZ","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"971aa037-0198-41d6-a4ad-69e6d903a4ef","SA","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"97e49723-f803-4a3d-9d55-33bca1cd320c","HU","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"993ff5ac-10c5-49e2-872c-e9d85757b6a4","AR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"9a93524f-b9e2-41a5-8a1a-c1c21e65c745","CY","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"9d4f2ed7-61fd-48a8-9566-86f396840523","EE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"9e77d41e-456b-4bd3-9029-bb229c2868c8","IN","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"a3611ebf-1c3d-4165-81cd-47739f4f522b","MK","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"a63d0c2c-b1dd-4588-a7fa-4d95ad7e98dc","ES","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"a98dc240-237f-47f8-819f-9f4ae787c62b","SV","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"aed2185f-9845-416d-9150-badd4801498a","CL","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"af1ccb87-a610-4085-94d5-d5855da0b10d","TR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"af59b96d-1b8c-4956-97ba-865458ff00d6","BR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"afc145ab-9dbf-4694-a69b-0c37fc1db68e","BA","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"b4ea141d-2cbf-4df0-bdf5-00f714c8c3de","CV","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"bcb02b93-70c4-4025-92c0-9e01146e22ff","AT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"c12f79bb-4922-4697-b1d8-a8d600ec3a65","MT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"c1c40b2b-8684-49fa-a906-5a62ce9e5a26","CH","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"c5cf726a-a136-4b3f-9b03-7ad1191c3238","MC","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"c937c01d-8365-44e6-a554-3ff0233582a9","PE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"ca92b7a1-dfe3-4aed-b40a-3f5a8f635c4b","SE","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"d00f4999-fcdc-4460-840c-9876d7f1c676","LV","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"d02c0884-cadf-43c6-95ad-29ff592d0a2e","SK","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"d08ee162-d808-4a83-a6f4-ce6a7d3fc921","FI","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"d6c1f16c-3ab9-43d9-9d33-9d9f5e056948","NL","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"d7ccdd8a-55d5-4cb8-bfc2-344df9b41d47","DK","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"d8eee124-c70b-492f-bc5c-50719b4daf0d","BO","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"dbbf4324-4918-4c49-a0a7-fc74e4d2367f","PT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"dc808c2a-d5bb-4ba7-be86-794ddc5c3d46","NO","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"f47f88dc-ba44-45a3-83c9-18eb8ed653fb","IS","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"f51936e8-b7e0-48f1-9e7e-8c643dd0fd5a","UY","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"f51a8a79-368c-474f-ab3d-ce267b5a3d82","KR","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"f63a36c8-833b-4082-9274-a997b4d8a4b5","PF","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"fe65b98b-6d92-444a-b2b9-95a03aff2cfd","AU","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
"fee4883d-05ea-4f8a-ba11-ecc4a95d3772","LT","a8437877-1ba8-47a3-bb86-ddf6d7ca4332"
